epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7704,1.06867,2.99751,1.10563,0.54037,0.18294,0.22595,0.17107,0.9506,2.30774,0.98701,0.000299557,0.000299557,0.000299557
2,45.453,1.02422,1.84518,1.0903,0.53398,0.35494,0.36853,0.2685,0.93995,1.52224,1,0.000590626,0.000590626,0.000590626
3,66.4094,1.02741,1.62719,1.08938,0.61532,0.40524,0.44226,0.32492,0.94046,1.27146,1.00524,0.000869697,0.000869697,0.000869697
4,87.0749,1.01834,1.4571,1.0785,0.6919,0.45135,0.50308,0.37012,0.88618,1.1208,0.98065,0.000855005,0.000855005,0.000855005
5,107.368,0.9872,1.33354,1.06916,0.72418,0.47747,0.53434,0.3975,0.8294,0.98849,0.9589,0.000837007,0.000837007,0.000837007
6,127.63,0.94602,1.23847,1.0515,0.7283,0.49139,0.55196,0.40826,0.80735,0.9293,0.9481,0.000819009,0.000819009,0.000819009
7,147.795,0.94767,1.18291,1.05023,0.73973,0.49473,0.5556,0.41182,0.80944,0.92343,0.93916,0.000801011,0.000801011,0.000801011
8,168.152,0.90107,1.08723,1.02929,0.80502,0.5118,0.58978,0.44287,0.7783,0.85994,0.93055,0.000783013,0.000783013,0.000783013
9,189.399,0.89387,1.0538,1.01638,0.80279,0.52471,0.60089,0.46075,0.72134,0.78118,0.91067,0.000765014,0.000765014,0.000765014
10,210.522,0.87995,1.00865,1.01906,0.82325,0.53427,0.60865,0.46078,0.74464,0.78567,0.92051,0.000747016,0.000747016,0.000747016
11,230.872,0.86887,0.97055,1.01085,0.80629,0.55943,0.6223,0.48006,0.71091,0.72154,0.90335,0.000729018,0.000729018,0.000729018
12,251.155,0.82629,0.89464,0.99732,0.82813,0.55196,0.63077,0.48843,0.68694,0.72307,0.89103,0.00071102,0.00071102,0.00071102
13,271.034,0.83886,0.90729,0.99917,0.81012,0.55904,0.62731,0.48037,0.71289,0.71173,0.90171,0.000693022,0.000693022,0.000693022
14,291.255,0.83974,0.87645,0.99808,0.84758,0.56212,0.63967,0.49387,0.68628,0.68594,0.89361,0.000675023,0.000675023,0.000675023
15,311.694,0.79288,0.83977,0.98495,0.82986,0.56011,0.63642,0.48927,0.6719,0.70898,0.88622,0.000657025,0.000657025,0.000657025
